ID,タスク,期日,画像リンク
1,"Microsoft Edgeをアップデート<br>ブラウザの3点リーダーからヘルプとフィードバック<br>Microsoft Edgeについてを選択すると、そのままアップデートが始まります。<br>アップデートが完了したら、ブラウザを再起動<br>",,images/MOS1.png
2,"Excel・Word・PowerPointのいずれかを立ち上げます。<br>ファイル⇒アカウント⇒office更新プログラムより、今すぐ更新を選択します。<br>更新が完了したら、更新を無効にするを選択して終了する。",,images/MOS2.png
3,"Windows Updateを行います。<br>スタート⇒設定⇒システム⇒Windows updateへ<br>「利用可能になったらすぐに最新のプログラムを入手する」⇒オン<br>「更新プログラムのチェック」<br>※再起動があったりしますが、必要に応じて適宜対応します。",,images/MOS3.png
4,"①事前にノートPCをAC電源につないでおく<br>②タスクバーのバッテリーアイコンを右クリック<br>③「電源とスリープの設定」をクリック<br>④バッテリー1のステータスを確認<br>「充電中です」となっていればそのまま充電する<br>「充電が完了しました」またはパーセンテージのみ表示されたら終了<br>（バッテリーによっては満充電後も100%にならない場合あり）",,images/MOS4.png
5,"「スタート」ボタンを右クリック<br>「設定」をクリック<br>「システム」をクリック<br>「通知」をクリック<br>「追加の設定」をクリック<br>「Windowsを最大限に活用し、このデバイスの設定を完了する方法を提案する」のチェックを外す<br>（その他各種Microsoft製品の広告も非表示にするときは選択肢３つともチェックオフにする）<br>",,images/MOS5.png
6,"「スタート」ボタンを右クリック<br>「タスクマネージャー」をクリック<br>「≡」→「スタートアップアプリ」をクリック<br>CheckBatteryFW、OneDriveの状態が有効なら無効化(無効なら何もしない)",,images/MOS6.png
7,"①「スタート」ボタンを右クリック<br>②「インストールされているアプリ」をクリック<br>③FOM出版のMOS模擬試験右の「…」をクリック(図はMOS Excel365の例)<br>④「アンインストール」をクリック（以降、表示されるアンインストーラのメッセージに従う）",,images/MOS7.png
8,"①「スタート」ボタン→「すべて」ボタン→設定の順で設定アプリを起動<br>②「システム」をクリック<br>③「クリップボード」をクリック<br>④「クリア」の字が濃色のときのみクリック<br>※淡色の場合はデータなし。何もしない",,images/MOS8.png
9,"①「個人用設定」をクリック<br>②図のように「最近開いた項目をスタート、ジャンプリスト、ファイルエクスプローラーに表示する」と「ヒント、ショートカット、新しいアプリなどのおすすめを表示します」右をオフにし、再度オンにする<br>③スタート画面を開き、②の２つの設定が反映されていることを確認<br>（反映に少し時間がかかる場合あり）<br>",,images/MOS9.png
10,"①図の「プライバシーとセキュリティ」をクリック<br>②「検索アクセス許可」をクリック<br>③図の「デバイスの検索履歴をクリア」をクリック<br>(見た目何も起きないが、履歴が残っていれば裏で削除処理されている)",,images/MOS10.png
11,"①図左の「プライバシーとセキュリティ」をクリック<br>②「アクティビティの履歴」をクリック<br>③図右上の「履歴のクリア」をクリック<br>④図右下の「クリア」をクリック",,images/MOS11.png
12,"①エクスプローラを起動し、「…」をクリック<br>②「オプション」をクリック<br>③フォルダオプション下にある「エクスプローラの履歴を消去する」の右「消去」ボタンをクリック<br>※見た目何も起きないが、履歴が残っていれば裏で削除処理されている<br>④「OK」ボタンをクリック<br>「最近使用したファイルを表示する」チェックがオンの場合、ホーム画面にて最近使用したファイル・フォルダが何もないことを確認",,images/MOS12.png
13,"①タスクバー右にあるIMEツールバー(「A」または「あ」と表示)を右クリック<br>②「設定」をクリック<br>③「学習と辞書」をクリック<br>④「入力履歴の消去」をクリック<br>⑤「OK」をクリック",,images/MOS13.png
14,"右下に表示される通知をクリアにする",,images/MOS14.png
15,"ブラウザEdgeの閲覧履歴をクリアする<br>①Edgeを起動後、左上の「…」をクリック<br>②「設定」をクリック後、サイドメニューが表示されていなければ画面左上の「≡」をクリック<br>③「プライバシー、検索、サービス」をクリック<br>④「今すぐ閲覧データをクリア」右の「クリアするデータの選択」ボタンをクリック<br>⑤「時間の範囲」を「すべての期間」とし、すべての項目にチェックを入れ、「今すぐクリア」ボタンをクリック",,images/MOS15.png
16,"①ゴミ箱の中を空に<br>②ダウンロードフォルダの中も空に<br>③電源を切るときに、アップデートが残っていないか確認",,images/MOS16.png
