ID,タスク,期日,画像リンク
0,"<div class=task-note>PCの起動は以下のアカウントより行います<br>ID：./oucadmin<br>Pass：Lm******</div><br>①瞬快を解除します。<br>　右下、瞬快のアイコンを右クリック⇒基本機能を使用する⇒環境設定を行う<br>②パスワードを求められるので、以下のパスワードを入力<br>　cSX****<br>③修復無効モードを選択し、OKを押す。<br>　⇒再起動が始まります。",,images/zin1.png
1,"<div class=""task-note"">長期にわたって更新作業を行わなかった場合、まれにアップデートを受け付けないときがある。<br>その場合はこの手順ではなく、「Zoomの再インストール手順.csv」を参照します。</div><br>スタートメニューよりZoomを起動",,images/zup.png
2,"画面右下のZoomアイコンを右クリックし、アップデートを確認<br>更新を実施する",,images/zup.jpg
3,"アップデート終了後、ポップアップにて自動更新のチェックボックスが表示されるが、チェックを外して完了を押す。",,images/zup2.jpg
4,"アプリが英語仕様になっているので、それを改善します。<br>①右下のZoomアイコン(右クリック)<br>②メニューから「Swich Languages」を選択し、「日本語」を選択<br>③その後Zoomが勝手に再起動しアプリが日本語仕様になっている事を確認",,images/zup3.png
5,"再度バージョンを確認します<br>①右下Zoomアイコン(右クリック)<br>②アップデートを確認<br>③表示されたポップアップを確認<br>　⇒「最新の状態を保っています」と出ればOK",,images/zup4.jpg
6,"<div class=task-note>※この段階ではoucadminのプロファイルにアップデートされたZoomがインストールされているため、アップデート後のZoomが使えるのはoucadminだけになります。<br>全てのユーザーがアップデート後のZoomを使うため、アップデート後のZoomフォルダ一式をCドライブ直下に移動させます。</div><br>①エクスプローラーを起動し、隠しファイルに☑を入れる<br>②oucadminのプロファイルのパス<br>　C:\Users\oucadmin\AppData\Roaming内<br>　Zoomフォルダをコピーし、Cドライブ直下に貼り付ける<br><div class=task-note>Cドライブ直下に古いZoomフォルダがあれば、それを削除</div><br>",,images/zup5.png
7,"①C:\Users\Public\Desktop内<br>　⇒Zoomショートカットアイコンを削除<br>②C:\Zoom\bin内<br>　⇒Zoom.exeをディスクトップにショートカットとして貼り付け",,images/zup6.png
8,"<div class=task-note>ディスクトップに貼り付けたショートカットを、すべてのユーザーが利用できるようにするため、フルアクセス権限を付与します</div><br>①Zoomアイコン(右クリック)<br>　リンク先がCドライブ直下のZoomフォルダになっていなければ、以下のように修正<br>　C:\Zoom\bin\Zoom.exe<br>　⇒適用　※初めからこれになっていれば修正の必要なし<br>②タブをセキュリティーに合わせる<br>　グループ名またはユーザー名の中に「everyone」を追加します<br>　「編集」を押下<br>③「追加」をクリック<br>④選択するオブジェクト名を入力してくださいの欄に「everyone」と入力<br>⑤名前の確認　※「everyone」に下線がつきます。<br>⑥OK<br>⑦グループ名またはユーザー名の中からEveryoneを選択<br>⑧フルコントロールにチェックを入れます<br>　⇒すべての項目に☑がつきます<br>　⇒「適用」⇒「OK」",,images/zup7.png
9,"Zoomのショートカットを、パブリックディスクトップに切りぺします。<br>①作成したディスクトップのZoomショートカットを以下のディレクトリに保存<br>　C:\Users\Public\Desktop<br>②ショートカットの名前は「Zoom Workplace」にリネーム<br>　※初めからその名前になっていれば、そのままでOK",,images/zup8.png
10,"<div class=task-note>Cドライブ直下のZoomフォルダも同様に、すべてのユーザーに対してフルコントロールの権限を付与します</div><br>①Cドライブ直下のZoomフォルダ(右クリック)⇒プロパティ<br>②タブをセキュリティに合わせ、編集をクリック<br>③上の枠内に「everyone」を追加しますので、「追加」を押下<br>④選択するオブジェクト名を入力してくださいの部分に「everyone」を入力<br>⑤「名前を確認」を押下<br>⑥「OK」<br>⑦グループ名またはユーザー名の枠内で「everyone」を選択<br>⑧フルコントロールに☑、すべてにチェックがつきます。<br>⑨適用⇒OK",,images/zup9.png
11,"<div class=task-note>管理者のスタートメニュー設定方法は共通</div><br>①スタートメニューからZoomアイコン(右クリック)<br>　その他⇒ファイルの場所を開く<br>②Zoom Workplaceのアイコン(右クリック)⇒プロパティ<br>③プロパティのリンク先のパスを以下のように変更<br>　旧：C:\Users\oucadmin\AppData\Roaming\Zoom\bin\Zoom.exe<br>　新：C:\Zoom\bin\Zoom.exe<span class=task-note>　この作業はZoomをプロファイルから起動するのではなく、C直下から起動するための設定変更</span><br>④Uninstall Zoom Workplaceも同様に、リンク先のパスを以下のように変更<br>　C:\Zoom\uninstall\Installer.exe /uninstall",,images/zup10.png
12,"<div class=task-note>全ユーザーのスタートメニュー設定を行います。この内容はZoomがどのようにインストールされているかによって設定方法が異なるため、まずは「全ユーザー共通のショートカット」の設定方法について解説<br>※C:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programsを開き、その中にZoomフォルダがない場合はこの手順で行います。</div><br>①エクスプローラーを起動し、以下のパスにアクセス<br>　C:\ProgramData\Microsoft\Windows\Start Menu\Programs<br>②古いショートカットを削除<br>③新しく作成したパブリックディスクトップ内のショートカットをコピペ",,images/zup11.png
13,"<div class=task-note>DefaultのプロファイルのスタートメニューにZoomフォルダがある場合。<br>※C:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs内にZoomフォルダがある場合</div><br>①エクスプローラーを起動を起動し、以下のパスにアクセス<br>　C:\Users\Default\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Zoom<br>②Zoomフォルダの中にある古いショートカットを削除<br>③新しく作成したパブリックディスクトップ内のZoomショートカットをコピペ",,images/zup12.png
14,"①隠しファイルのチェックを外し、更新作業は終了",,images/zup13.png
15,"ここまでやり終えたら、隠しフォルダの表示チェックを外し、瞬快を起動<br>管理者アカウントでディスクトップからZoomが開くことと、スタートメニューからZoomを開いてみます。",,
16,"同様のことをテスト学生アカウントでも実施してみる。<br>スタートメニュー側のバージョンが古いままの時があるので注意",,
